,266.6333333333333,Waiting for stream to start
3487.8,3520.911406,Q&A: Are there big cliffs where you can see the entire map?
3524.5333333333333,3638.601169,Q&A: How do you make the terrain?
3639.645239,3717.887234,Q&A: Can you write down my name on this cave?
3720.651227,3739.395108,Q&A: What was Hannah's first day at Coffee Stain like?
3766.778554,3781.968015,Hannah Talk: The first thing you do if you start at Coffee Stain
3786.18899,3821.273832,Q&A: Is there an undo button?
3825.28082,3844.546451,Q&A: Where do you apply?
3852.707605,3868.383836,Q&A: What kind of resolution is the landscape?
3876.728582,3960.579115,Hannah Talk: How I became a writer at Coffee Stain
3960.579115,3991.90858,"Q&A: Is all lighting done with a directional, or do you have other lights in the environment too?"
3991.90858,4001.34046,Q&A: Is it possible to get chickens in the game?
4001.34046,4068.282782,Q&A: Did Hannah study to become a designer?
4069.938014,4092.622678,"Q&A: Is the World like Earth so you can walk around it, or is there an end?"
4092.622678,4103.016174,Q&A: Can Hannah speak Dutch?
4116.866666666667,4142.206297,Q&A: How many Level Designer are working on the map? Or are you the only one?
4144.261196,4169.009739,Are we going to be stuck in the cave looking at speleothems the whole stream?
4169.009739,4174.063485,Q&A: What School did Hannah go to?
4196.251148,4208.189437,Q&A: Where are you in development?
4226.827791,4247.935173,Q&A: What are the splines for?
4250.630211,4256.657128,Q&A: Release date?
4259.409187,4274.556616,Q&A: How long does it usually take for sending off for the Alpha to get a response?
4284.443325,4301.268185,Q&A: Aren't we the aliens when get to the planet?
4304.133333333333,4319.32143,Q&A: If I make alien chickens could you put them in the game?
4322.982105,4329.356095,Q&A: How big is the Alpha?
4340.648917,4349.006868,Q&A: How do trees grow in caves?
4354.483035,4399.932361,Q&A: Why do you not have a lot players in the Alpha?
4402.120638,4456.517473,Q&A: How will the Story be told in the game- will it be audio lines or will the Story be text-based?
4456.517473,4507.773148,Q&A: Are you going to make the Story like Subnautica?
4509.424639,4516.550398,Q&A: Can you climb steep terrain?
4521.066755,4531.568623,Community FYI: The cake is a lie!
4535.706068,4587.220174,I see you're sculpting the Environment. I thought that was something Environment Artists do?
4587.220174,4600.881774,Q&A: Is the game a scam?
4600.866666666667,4629.566666666667,Hannah Talk: Level Design Stream (Part 7)
4629.576753,4641.290481,Community FYI: Too many stalactites on the right side
4652.390689,4668.073271,Community FYI: Trees overlapping with stalactites doesn't look good
4668.066666666667,4707.4,Hannah Talk: Level Design Stream (Part 8)
4707.4,4715.707868,"Community FYI: You skipped the part where some stick through ""balcony"" roof"
4718.242065,4747.934062,Q&A: How big is the game in file size?
4747.934062,4786.597164,Q&A: Will you have Nordic language support?
4788.8,4800.84822,Q&A: What is the ending?
4803.983031,4818.284845,Q&A: Is your Unreal Engine pirated?
4822,4845.059898,Q&A: Is that unlit mode?
4845.059898,4872.950545,Community FYI: Unreal Engine is free-to-use?
4889.926418,4935.130471,Q&A: Has Hannah used Unity before?
4935.130471,4940.969842,Q&A: Is this for Goat Simulator?
4977.019619,4987.213353,Q&A: Do you take interns in Game & Level Design?
4987.2,4999.795958,Community FYI: Satisfied with the look of the factory in Satisfactory
4999.8,5012.820008,Q&A: How long is the game going to be from start to finish?
5017.8,5049.442939,Simon says: Can I go to the bathroom?
5050.579615,5056.929969,Q&A: Can you have your own pet in the game?
5073.28789,5081.553759,Q&A: Can Hannah do a little gameplay?
5081.553759,5093.168545,"Q&A: When you studied in Breda, did you think you would work on this kind of big project?"
5103.592539,5106.64023,Q&A: What version control software does Coffee Stain use?
5109.490199,5126.785633,Q&A: What are the red dome things?
5128.56594,5136.281677,Q&A: Are you going to make Easter Eggs?
5141.221945,5152.209084,Q&A: Can we deform terrain?
5159.481807,5167.186143,Q&A: Will the players be able to make their own Maps?
5168.751997,5186.038783,Hannah Talk: Level Design Stream (Part 9)
5186.033333333334,5200.942785,Q&A: What about Snow in the game's future?
5200.933333333333,5234.485233,Hannah Talk: Level Design Stream (Part 10)
5234.485233,5238.267007,Q&A: Weather confirmed?
5238.267007,5244.490972,Q&A: How big is the map?
5245.97296,5251.640578,Q&A: Does Coffee Stain pay you in Coffee?
5251.633333333333,5287.2614,Hannah Talk: Level Design Stream (Part 11)
5287.2614,5291.710206,Q&A: Does Coffee Stain pay you in foot-long subs?
5291.710206,5304.230151,Q&A: Will there be christmas/new year events or something like that when the game is finished?
5304.233333333334,5307.797919,Q&A: Tea drinker?
5307.8,5336.08426,Hannah Talk: Level Design Stream (Part 12)
5336.08426,5347.37039,Q&A: How often will the Map be updated?
5347.366666666667,5390.335913,Hannah Talk: Level Design Stream (Part 13)
5390.335913,5404.05357,Q&A: Will the night cycle be dark so you need lights?
5404.066666666667,5416.979985,Hannah Talk: Level Design Stream (Part 14)
5416.966666666666,5436.988277,Q&A: Is this the kind of game that you wanted to design?
5436.988277,5448.739181,Q&A: Will co-op be available from the start in Early Access?
5450.593416,5454.661311,Q&A: Will there be seasons?
5454.666666666667,,Outro
